1,1,149,1
2,2,225,2
2,3,150,1
1,4,89,2
2,5,80,2
2,6,200,2
1,7,60,1
2,8,79,1
2,9,79,1
2,10,150,2
2,9,135,2
2,8,85,1
1,11,89,1
2,9,85,1
2,12,120,2
1,13,140,2
1,14,215,2
2,15,140,1
1,16,99,2
2,5,190,2
1,13,299,2
1,17,130,1
1,17,80,1
1,17,110,1
1,7,120,2
1,18,60,1
2,19,80,1
2,8,150,2
2,19,44,1
2,20,180,2
2,3,50,1
2,3,52,1
1,21,55,1
2,3,50,1
1,7,70,1
1,11,89,1
1,7,35,1
1,22,85,2
1,23,150,1
2,24,40,3
2,20,68,1
1,11,120,2
1,14,120,1
2,9,135,1
2,3,150,2
1,25,150,2
3,26,130,1
1,7,110,2
1,7,115,2
1,14,80,1
1,7,80,1
2,9,151,2
1,13,228,2
1,21,144,2
2,27,200,2
1,13,150,2
2,24,110,1
2,8,69,1
1,21,49,1
2,28,180,2
1,13,80,1
2,15,375,2
2,29,250,2
1,30,200,2
1,4,55,1
2,8,52,1
1,17,225,2
2,20,80,1
1,13,275,2
2,20,99,1
2,5,225,2
2,20,230,2
2,8,51,1
2,31,65,1
1,4,105,1
2,20,190,2
2,29,200,1
3,32,70,1
1,14,95,1
2,15,150,1
1,13,145,1
2,3,110,2
2,24,285,2
1,23,130,2
2,24,94,1
1,33,800,2
1,13,105,2
2,20,60,1
2,20,50,1
1,13,85,1
1,22,65,1
1,30,131,2
1,4,98,1
1,30,250,2
1,13,100,2
1,22,105,2
2,9,140,2
2,3,89,1
2,15,98,1
1,7,125,2
2,3,60,1
1,34,175,2
2,31,65,1
2,12,500,2
1,13,101,1
1,17,220,2
1,7,125,2
1,13,80,2
2,3,100,1
1,35,200,2
2,8,59,1
1,4,125,1
2,20,140,2
1,11,120,2
2,20,350,2
2,27,199,2
1,13,325,2
2,9,235,2
2,20,225,2
1,11,99,1
2,3,170,2
1,11,400,2
2,9,170,2
2,20,100,2
1,25,75,1
1,13,90,1
2,29,150,2
2,31,85,1
1,7,70,1
2,3,120,2
1,4,89,1
2,20,185,2
1,21,50,1
2,24,105,2
2,8,130,1
2,12,115,2
1,36,77,1
1,4,76,1
1,7,125,2
1,4,135,1
1,21,250,2
1,13,199,2
1,37,140,2
3,38,140,1
1,7,115,2
1,13,160,2
1,13,195,2
2,20,195,2
1,13,80,1
1,14,44,1
2,12,156,1
1,30,85,1
1,13,125,1
1,30,115,2
2,5,69,1
2,12,225,2
1,13,125,2
2,29,219,2
1,39,475,2
2,29,99,2
1,13,69,1
3,40,79,1
1,7,135,2
1,41,250,1
2,29,250,2
1,35,250,2
2,3,80,2
1,4,70,1
1,34,165,2
4,42,70,1
1,22,50,1
5,43,40,1
1,13,150,2
2,20,125,1
